iucn_sid,dbf_file,sciname,main_common_name,cat,cat_score,published_year,iucn_version
165869,ANGELFISH.dbf,Apolemichthys guezei,Reunion Angelfish,DD,NA,2010,2018-1
165870,ANGELFISH.dbf,Chaetodontoplus conspicillatus,Conspicuous Angelfish,LC,0,2010,2018-1
165871,ANGELFISH.dbf,Centropyge bispinosa,Twospined Angelfish,LC,0,2010,2018-1
165872,ANGELFISH.dbf,Genicanthus watanabei,Blackedged Angelfish,LC,0,2010,2018-1
165873,ANGELFISH.dbf,Pomacanthus annularis,Bluering Angelfish,LC,0,2010,2018-1
165874,ANGELFISH.dbf,Genicanthus personatus,Masked Angelfish,LC,0,2010,2018-1
165875,ANGELFISH.dbf,Centropyge shepardi,Shepard's Pygmy Angelfish,LC,0,2010,2018-1
165876,ANGELFISH.dbf,Centropyge multispinis,Multispined Angelfish,LC,0,2010,2018-1
165878,ANGELFISH.dbf,Centropyge flavissima,Lemonpeel Angelfish,LC,0,2010,2018-1
165879,ANGELFISH.dbf,Holacanthus tricolor,Rock Beauty,LC,0,2010,2018-1
165880,ANGELFISH.dbf,Holacanthus passer,King Angelfish,LC,0,2010,2018-1
165881,ANGELFISH.dbf,Chaetodontoplus personifer,Blueface Angelfish,LC,0,2010,2018-1
165882,ANGELFISH.dbf,Chaetodontoplus septentrionalis,Bluestriped Angelfish,LC,0,2010,2018-1
165883,ANGELFISH.dbf,Holacanthus ciliaris,Queen Angelfish,LC,0,2010,2018-1
165884,ANGELFISH.dbf,Chaetodontoplus mesoleucus,Vermiculated Angelfish,LC,0,2010,2018-1
165885,ANGELFISH.dbf,Pygoplites diacanthus,Royal Angelfish,LC,0,2010,2018-1
165887,ANGELFISH.dbf,Pomacanthus arcuatus,Grey Angelfish,LC,0,2010,2018-1
165888,ANGELFISH.dbf,Genicanthus lamarck,Blackstriped Angelfish,LC,0,2010,2018-1
165889,ANGELFISH.dbf,Pomacanthus zonipectus,Cortez Angelfish,LC,0,2010,2018-1
165890,ANGELFISH.dbf,Centropyge joculator,Yellowhead Angelfish,LC,0,2010,2018-1
165891,ANGELFISH.dbf,Chaetodontoplus meredithi,Queensland Yellowtail Angelfish,LC,0,2010,2018-1
165892,ANGELFISH.dbf,Chaetodontoplus niger,NA,LC,0,2010,2018-1
165893,ANGELFISH.dbf,Centropyge aurantia,Golden Angelfish,LC,0,2010,2018-1
165894,ANGELFISH.dbf,Chaetodontoplus caeruleopunctatus,Bluespotted Angelfish,DD,NA,2010,2018-1
165895,ANGELFISH.dbf,Centropyge flavipectoralis,Yellowfin Angelfish,LC,0,2010,2018-1
165896,ANGELFISH.dbf,Centropyge multicolor,Multicolor Angelfish,LC,0,2010,2018-1
165897,ANGELFISH.dbf,Centropyge nigriocellus,Blackspot Angelfish,LC,0,2010,2018-1
165898,ANGELFISH.dbf,Pomacanthus paru,French Angelfish,LC,0,2010,2018-1
165899,ANGELFISH.dbf,Centropyge potteri,Russet Angelfish,LC,0,2010,2018-1
165900,ANGELFISH.dbf,Centropyge venusta,Purplemask Angelfish,LC,0,2010,2018-1
165901,ANGELFISH.dbf,Centropyge tibicen,Keyhole Angelfish,LC,0,2010,2018-1
165902,ANGELFISH.dbf,Centropyge bicolor,Bicolor Angelfish,LC,0,2010,2018-1
165903,ANGELFISH.dbf,Centropyge narcosis,Narc Angelfish,LC,0,2010,2018-1
165910,DAMSELFISH.dbf,Chromis cyanea,Blue Chromis,LC,0,2010,2018-1
165912,NA,Conocara nigrum,Flathead Slickhead,DD,NA,2010,2018-1
165913,NA,Paraliparis atramentatus,NA,DD,NA,2010,2018-1
166009,NA,Takifugu orbimaculatus,NA,LC,0,2011,2018-1
166031,NA,Sineleotris chalmersi,NA,LC,0,2012,2018-1
166077,NA,Eleotris fusca,Brown Spinecheek Gudgeon,LC,0,2017,2018-1
166138,NA,Bostrychus sinensis,Four-eyed Sleeper,LC,0,2012,2018-1
166144,NA,Glossogobius olivaceus,NA,LC,0,2011,2018-1
166171,NA,Eleotris oxycephala,NA,LC,0,2012,2018-1
166184,NA,Anguilla japonica,Japanese Eel,EN,0.6,2014,2018-1
166189,NA,Anguilla marmorata,Marbled Eel,LC,0,2014,2018-1
166196,clupeiformes.dbf,Clupanodon thrissa,Chinese Gizzard Shad,LC,0,2017,2018-1
166197,NA,Salanx chinensis,Chinese noodlefish,DD,NA,2012,2018-1
166200,NA,Salanx cuvieri,Noodlefish,DD,NA,2012,2018-1
166216,clupeiformes.dbf,Coilia grayii,Grey’s Grenadier Anchovy,LC,0,2012,2018-1
166263,NA,Sermyla riqueti,NA,LC,0,2012,2018-1
166268,NA,Assiminea latericea,NA,LC,0,2012,2018-1
166410,NA,Ophisternon bengalense,Bengal mudeel,LC,0,2010,2018-1
166428,clupeiformes.dbf,Corica soborna,The Ganges River Sprat,LC,0,2010,2018-1
166442,NA,Tenualosa ilisha,Hilsa,LC,0,2014,2018-1
166446,NA,Arius arius,Threadfin Sea Catfish,LC,0,2012,2018-1
166470,NA,Planiliza tade,NA,DD,NA,2018,2018-1
166533,NA,Glossogobius giuris,Bareye Goby,LC,0,2016,2018-1
166552,NA,Pisodonophis boro,NA,LC,0,2010,2018-1
166575,NA,Gazza minuta,Toothed Ponyfish,LC,0,2017,2018-1
166598,NA,Drombus globiceps,Bighead goby,LC,0,2012,2018-1
166633,NA,Mystus gulio,NA,LC,0,2010,2018-1
166680,NA,Theodoxus reticularis,NA,LC,0,2010,2018-1
166693,NA,Neritina violacea,Red-mouth Nerite Snail,LC,0,2010,2018-1
166699,NA,Assiminea beddomeana,NA,LC,0,2010,2018-1
166700,NA,Iravadia ornata,NA,LC,0,2010,2018-1
166704,NA,Gangetia miliacea,NA,LC,0,2010,2018-1
166708,NA,Neritina sulculosa,NA,LC,0,2010,2018-1
166709,NA,Tanysiphon rivalis,NA,LC,0,2010,2018-1
166715,NA,Stenothyra deltae,NA,LC,0,2010,2018-1
166719,NA,Scaphula deltae,NA,LC,0,2010,2018-1
166725,NA,Stenothyra ornata,NA,LC,0,2010,2018-1
166739,NA,Clithon reticularis,NA,LC,0,2010,2018-1
166750,NA,Thiara paludomoidea,NA,LC,0,2010,2018-1
166754,NA,Assiminea hungerfordiana,NA,DD,NA,2010,2018-1
166774,NA,Polymesoda bengalensis,Bengali Geloina,LC,0,2012,2018-1
166777,NA,Nerita articulata,NA,LC,0,2010,2018-1
166783,NA,Stenothyra blanfordiana,NA,LC,0,2010,2018-1
166856,NA,Planiliza macrolepis,Largescale Mullet,LC,0,2018,2018-1
166868,BONEFISH_TARPONS.dbf,Megalops cyprinoides,Indo-Pacific Tarpon,DD,NA,2016,2018-1
166879,NA,Gerres limbatus,NA,LC,0,2014,2018-1
166892,NA,Terapon jarbua,Tiger Perch,LC,0,2017,2018-1
166893,NA,Ambassis vachellii,Vachell's Glassfish,LC,0,2012,2018-1
166894,NA,Anguilla bicolor,Shortfin Eel,NT,0.2,2014,2018-1
166897,NA,Gerres filamentosus,Whipfin Mojarra,LC,0,2017,2018-1
166900,NA,Hyporhamphus limbatus,Congaturi Halfbeak,LC,0,2011,2018-1
166919,NA,Gerres oyena,Common Silver-biddy,LC,0,2016,2018-1
166925,NA,Monodactylus argenteus,Silver Moony,LC,0,2017,2018-1
166940,NA,Cynoglossus trigrammus,NA,LC,0,2012,2018-1
166944,NA,Moolgarda perusii,Longfinned Mullet,LC,0,2017,2018-1
166947,PUFFERFISH.dbf,Lagocephalus sceleratus,Silver-cheeked Toadfish,LC,0,2014,2018-1
166963,NA,Taenioides gracilis,Slender Eel Goby,LC,0,2017,2018-1
166985,NA,Hyporhamphus unifasciatus,Atlantic Silverstripe Halfbeak,LC,0,2015,2018-1
166990,NA,Boleophthalmus boddarti,Boddart's goggle-eyed goby,LC,0,2012,2018-1
166992,NA,Caragobius urolepis,Scaleless Worm Goby,LC,0,2012,2018-1
167006,PUFFERFISH.dbf,Takifugu ocellatus,Ocellated Puffer,NT,0.2,2014,2018-1
167010,NA,Oxyurichthys tentacularis,NA,DD,NA,2016,2018-1
167710,NA,Odontesthes regia,Chilean silverside,LC,0,2009,2018-1
167997,NA,Pellonula vorax,Bigtoothed Pellonula,LC,0,2010,2018-1
168e3,NA,Enneacampus kaupi,Vipère de mer,LC,0,2017,2018-1
168297,NA,Ayarnangra estuarius,NA,DD,NA,2010,2018-1
168374,ANGELFISH.dbf,Chaetodontoplus poliourus,NA,LC,0,2010,2018-1
168438,NA,Gobiopterus chuno,NA,DD,NA,2010,2018-1
168780,NA,Acanthus ilicifolius,Holy Mangrove,LC,0,2011,2018-1
169015,SEAGRASSES.dbf,Halophila ovalis,Species code: Ho,LC,0,2010,2018-1
169353,NA,Johnius coitor,Big-eyed Jewfish,LC,0,2009,2018-1
169358,NA,Microphis leiaspis,Barhead Pipefish,LC,0,2017,2018-1
169359,NA,Tetraroge barbata,Mangrove Waspfish,LC,0,2009,2018-1
169360,NA,Arius berneyi,Lesser Salmon Catfish,LC,0,2009,2018-1
169361,NA,Hippichthys heptagonus,Reticulated Freshwater Pipefish,LC,0,2017,2018-1
169365,NA,Kurtus gulliveri,Incubator Fish,LC,0,2009,2018-1
169374,cyprinodontiformes.dbf,Fundulus persimilis,Yucatan Killifish,EN,0.6,2015,2018-1
169376,NA,Poeciliopsis elongata,Elongate Toothcarp,NT,0.2,2010,2018-1
169587,NA,Nematalosa galatheae,Galathea Gizzard Shad,LC,0,2017,2018-1
169590,NA,Lophiogobius ocellicauda,NA,LC,0,2009,2018-1
169595,NA,Tridentiger kuroiwae,NA,LC,0,2009,2018-1
169599,PUFFERFISH.dbf,Takifugu obscurus,NA,LC,0,2014,2018-1
169628,NA,Coregonus subautumnalis,NA,VU,0.4,2009,2018-1
169632,NA,Plicofollis dussumieri,Blacktip Sea Catfish,LC,0,2017,2018-1
169636,NA,Bathygobius ostreicola,NA,DD,NA,2009,2018-1
169676,ANGELFISH.dbf,Chaetodontoplus vanderloosi,NA,EN,0.6,2010,2018-1
169679,ANGELFISH.dbf,Centropyge abei,NA,LC,0,2010,2018-1
169948,LOBSTERS.dbf,Jasus frontalis,Juan Fernandez Rock Lobster,DD,NA,2011,2018-1
169949,LOBSTERS.dbf,Scyllarus arctus,Small European Locust Lobster,LC,0,2011,2018-1
169951,LOBSTERS.dbf,Panulirus penicillatus,Pronghorn Spiny Lobster,LC,0,2011,2018-1
169954,LOBSTERS.dbf,Scyllarides haanii,Aesop Slipper Lobster,LC,0,2011,2018-1
169955,LOBSTERS.dbf,Homarus gammarus,European Lobster,LC,0,2011,2018-1
169956,LOBSTERS.dbf,Thymopides grobovi,Bellator Lobster,LC,0,2011,2018-1
169957,LOBSTERS.dbf,Metanephrops andamanicus,Andaman Lobster,LC,0,2011,2018-1
169958,LOBSTERS.dbf,Nephropsis aculeata,Florida Lobsterette,LC,0,2011,2018-1
169959,LOBSTERS.dbf,Metanephrops rubellus,Urugavian Lobster,DD,NA,2011,2018-1
169960,LOBSTERS.dbf,Ibacus brucei,Glabrous Fan Lobster,LC,0,2011,2018-1
169962,LOBSTERS.dbf,Acanthacaris tenuimana,Prickly Deep-sea Lobster,LC,0,2011,2018-1
169963,LOBSTERS.dbf,Metanephrops mozambicus,African Lobster,LC,0,2011,2018-1
169964,LOBSTERS.dbf,Panulirus echinatus,Brown Spiny Lobster,LC,0,2011,2018-1
169965,LOBSTERS.dbf,Metanephrops australiensis,Northwest Lobster,LC,0,2011,2018-1
169966,LOBSTERS.dbf,Panulirus interruptus,California Spiny Lobster,LC,0,2011,2018-1
169967,LOBSTERS.dbf,Nephrops norvegicus,Norway Lobster,LC,0,2015,2018-1
169968,LOBSTERS.dbf,Panulirus versicolor,Painted Spiny Lobster,LC,0,2011,2018-1
169969,LOBSTERS.dbf,Evibacus princeps,Shield Fan Lobster,LC,0,2011,2018-1
169970,LOBSTERS.dbf,Scyllarides deceptor,Hooded Slipper Lobster,LC,0,2011,2018-1
169971,LOBSTERS.dbf,Metanephrops sagamiensis,Sculpted Lobster,DD,NA,2011,2018-1
169972,LOBSTERS.dbf,Metanephrops challengeri,New Zealand Lobster,LC,0,2011,2018-1
169973,LOBSTERS.dbf,Nephropsis neglecta,Ruby Lobsterette,LC,0,2011,2018-1
169974,LOBSTERS.dbf,Nephropsis stewarti,Indian Ocean Lobsterette,LC,0,2011,2018-1
169975,NA,Palinurus elephas,Common Spiny Lobster,VU,0.4,2014,2018-1
169976,LOBSTERS.dbf,Panulirus argus,Caribbean Spiny Lobster,DD,NA,2011,2018-1
169977,LOBSTERS.dbf,Nephropsis malhaensis,Saya de Malha Lobsterette,DD,NA,2011,2018-1
169978,LOBSTERS.dbf,Scammarctus batei,Soft Locust Lobster,LC,0,2011,2018-1
169979,LOBSTERS.dbf,Thenus orientalis,Flathead Lobster,LC,0,2011,2018-1
169980,LOBSTERS.dbf,Jasus paulensis,St Paul Rock Lobster,DD,NA,2011,2018-1
169981,LOBSTERS.dbf,Eunephrops manningi,Banded Lobster,DD,NA,2011,2018-1
169982,LOBSTERS.dbf,Homarinus capensis,NA,DD,NA,2011,2018-1
169983,LOBSTERS.dbf,Scyllarides latus,Mediterranean Slipper Lobster,DD,NA,2011,2018-1
169984,LOBSTERS.dbf,Ibacus peronii,Butterfly Fan Lobster,LC,0,2011,2018-1
169985,LOBSTERS.dbf,Nephropsis acanthura,Spinetail Lobsterette,LC,0,2011,2018-1
169986,LOBSTERS.dbf,Nephropsis rosea,Two-toned Lobsterette,LC,0,2011,2018-1
169987,LOBSTERS.dbf,Panulirus ornatus,Ornate Spiny Lobster,LC,0,2011,2018-1
169988,LOBSTERS.dbf,Panulirus guttatus,Spotted Spiny Lobster,LC,0,2011,2018-1
169989,LOBSTERS.dbf,Petrarctus brevicornis,Blue-back Locust Lobster,LC,0,2011,2018-1
169990,LOBSTERS.dbf,Panulirus polyphagus,Mud Spiny Lobster,LC,0,2011,2018-1
169991,LOBSTERS.dbf,Scyllarides tridacnophaga,Clamkiller Slipper Lobster,LC,0,2011,2018-1
169993,LOBSTERS.dbf,Panulirus inflatus,Blue Spiny Lobster,LC,0,2011,2018-1
169995,LOBSTERS.dbf,Parribacus holthuisi,Red-spotted Mitten Lobster,DD,NA,2011,2018-1
169996,LOBSTERS.dbf,Parribacus caledonicus,Caledonian Mitten Lobster,LC,0,2011,2018-1
169997,LOBSTERS.dbf,Scyllarides brasiliensis,Brazilian Slipper Lobster,LC,0,2011,2018-1
169999,LOBSTERS.dbf,Palinurus gilchristi,Southern Spiny Lobster,LC,0,2011,2018-1
17e4,LOBSTERS.dbf,Acanthacaris caeca,Atlantic Deep-sea Lobster,LC,0,2011,2018-1
170002,LOBSTERS.dbf,Scyllarides elisabethae,Cape Slipper Lobster,LC,0,2011,2018-1
170003,LOBSTERS.dbf,Metanephrops armatus,Armoured Lobster,DD,NA,2011,2018-1
170004,LOBSTERS.dbf,Remiarctus bertholdii,Two-spot Locust Lobster,LC,0,2011,2018-1
170005,LOBSTERS.dbf,Nupalirus japonicus,Japanese Furrow Lobster,LC,0,2011,2018-1
170006,LOBSTERS.dbf,Panulirus japonicus,Japanese Spiny Lobster,DD,NA,2011,2018-1
170007,LOBSTERS.dbf,Puerulus carinatus,Red Whip Lobster,DD,NA,2011,2018-1
170008,LOBSTERS.dbf,Scyllarides squammosus,Blunt Slipper Lobster,LC,0,2011,2018-1
170009,LOBSTERS.dbf,Homarus americanus,American Lobster,LC,0,2011,2018-1
170010,LOBSTERS.dbf,Palinurus delagoae,Natal Spiny Lobster,LC,0,2011,2018-1
170011,LOBSTERS.dbf,Puerulus sewelli,Arabian Whip Lobster,LC,0,2011,2018-1
170013,LOBSTERS.dbf,Parribacus japonicus,Japanese Mitten Lobster,DD,NA,2011,2018-1
170014,LOBSTERS.dbf,Panulirus laevicauda,Smoothtail Spiny Lobster,DD,NA,2011,2018-1
170015,LOBSTERS.dbf,Palinurellus gundlachi,Caribbean Furry Lobster,LC,0,2011,2018-1
170016,LOBSTERS.dbf,Puerulus velutinus,Velvet Whip Lobster,LC,0,2011,2018-1
170017,LOBSTERS.dbf,Sagmariasus verreauxi,Green Rock Lobster,LC,0,2011,2018-1
170018,LOBSTERS.dbf,Nephropsis occidentalis,Pacific Lobsterette,LC,0,2011,2018-1
170019,LOBSTERS.dbf,Metanephrops sinensis,China Lobster,LC,0,2011,2018-1
170020,LOBSTERS.dbf,Scyllarides astori,Galápagos Slipper Lobster,DD,NA,2011,2018-1
170021,LOBSTERS.dbf,Metanephrops binghami,Caribbean Lobster,LC,0,2011,2018-1
170022,LOBSTERS.dbf,Scyllarides roggeveeni,Easter Island Slipper Lobster,DD,NA,2011,2018-1
170023,LOBSTERS.dbf,Ibacus novemdentatus,Smooth Fan Lobster,LC,0,2011,2018-1
170024,LOBSTERS.dbf,Thymopsis nilenta,Nilenta Lobsterette,LC,0,2011,2018-1
170025,LOBSTERS.dbf,Jasus edwardsii,Southern Rock Lobster,LC,0,2011,2018-1
170026,LOBSTERS.dbf,Ibacus brevipes,Serrate Fan Lobster,LC,0,2011,2018-1
170028,LOBSTERS.dbf,Scyllarides herklotsii,Red Slipper Lobster,DD,NA,2011,2018-1
170029,LOBSTERS.dbf,Palinustus truncatus,American Blunthorn Lobster,LC,0,2011,2018-1
170030,LOBSTERS.dbf,Scyllarides delfosi,Three-spot Slipper Lobster,DD,NA,2011,2018-1
170031,LOBSTERS.dbf,Panulirus femoristriga,White-whiskered Coral Crayfish,LC,0,2011,2018-1
170032,LOBSTERS.dbf,Nephropsis suhmi,Red and White Lobsterette,LC,0,2011,2018-1
170033,LOBSTERS.dbf,Palibythus magnificus,Musical Furry Lobster,DD,NA,2011,2018-1
170034,LOBSTERS.dbf,Arctides antipodarum,Rough Spanish Lobster,LC,0,2011,2018-1
170035,LOBSTERS.dbf,Palinurus mauritanicus,Pink Spiny Lobster,LC,0,2011,2018-1
170036,LOBSTERS.dbf,Metanephrops japonicus,Japanese Lobster,DD,NA,2011,2018-1
170037,LOBSTERS.dbf,Eduarctus martensii,Striated Locust Lobster,LC,0,2011,2018-1
170038,LOBSTERS.dbf,Thymops birsteini,Patagonian Lobsterette,LC,0,2011,2018-1
170039,LOBSTERS.dbf,Metanephrops formosanus,Formosa Lobster,DD,NA,2011,2018-1
170040,LOBSTERS.dbf,Metanephrops arafurensis,Arafura Lobster,DD,NA,2011,2018-1
170041,LOBSTERS.dbf,Panulirus stimpsoni,Chinese Spiny Lobster,DD,NA,2011,2018-1
170042,LOBSTERS.dbf,Projasus parkeri,Cape Jagged Lobster,LC,0,2011,2018-1
170043,LOBSTERS.dbf,Palinustus unicornutus,Unicorn Blunthorn Lobster,LC,0,2011,2018-1
170044,LOBSTERS.dbf,Nephropsis atlantica,Scarlet Lobsterette,LC,0,2011,2018-1
170046,LOBSTERS.dbf,Palinurus charlestoni,Cape Verde Spiny Lobster,NT,0.2,2011,2018-1
170047,LOBSTERS.dbf,Palinustus mossamicus,Buffalo Blunthorn Lobster,DD,NA,2011,2018-1
170048,LOBSTERS.dbf,Palinustus waguensis,Japanese Blunthorn Lobster,LC,0,2011,2018-1
170049,LOBSTERS.dbf,Palinurellus wieneckii,Indo-Pacific Furry Lobster,LC,0,2011,2018-1
170050,LOBSTERS.dbf,Metanephrops boschmai,Bight Lobster,LC,0,2011,2018-1
170051,LOBSTERS.dbf,Projasus bahamondei,Chilean Jagged Lobster,LC,0,2011,2018-1
170052,LOBSTERS.dbf,Arctides guineensis,Small Spanish Lobster,LC,0,2011,2018-1
170053,LOBSTERS.dbf,Metanephrops sibogae,Siboga Lobster,LC,0,2011,2018-1
170054,LOBSTERS.dbf,Linuparus trigonus,Japanese Spear Lobster,LC,0,2011,2018-1
170055,LOBSTERS.dbf,Petrarctus rugosus,Hunchback Locust Lobster,LC,0,2011,2018-1
170056,LOBSTERS.dbf,Scyllarus pygmaeus,Pygmy Locust Lobster,LC,0,2011,2018-1
170057,LOBSTERS.dbf,Panulirus pascuensis,Easter Island Spiny Lobster,DD,NA,2011,2018-1
170059,LOBSTERS.dbf,Parribacus scarlatinus,Marbled Mitten Lobster,DD,NA,2011,2018-1
170060,LOBSTERS.dbf,Nephropides caribaeus,Mitten Lobsterette,DD,NA,2011,2018-1
170061,LOBSTERS.dbf,Panulirus gracilis,Green Spiny Lobster,DD,NA,2011,2018-1
170062,LOBSTERS.dbf,Panulirus homarus,Scalloped Spiny Lobster,LC,0,2011,2018-1
170063,LOBSTERS.dbf,Arctides regalis,Royal Spanish Lobster,LC,0,2011,2018-1
170064,LOBSTERS.dbf,Metanephrops velutinus,Velvet Lobster,LC,0,2011,2018-1
170065,LOBSTERS.dbf,Linuparus somniosus,African Spear Lobster,LC,0,2011,2018-1
170066,LOBSTERS.dbf,Panulirus longipes,Longlegged Spiny Lobster,LC,0,2011,2018-1
170067,LOBSTERS.dbf,Panulirus marginatus,Banded Spiny Lobster,DD,NA,2011,2018-1
170068,LOBSTERS.dbf,Neoglyphea inopinata,NA,DD,NA,2011,2018-1
170069,LOBSTERS.dbf,Nephropsis carpenteri,Ridge-back Lobsterette,LC,0,2011,2018-1
170070,LOBSTERS.dbf,Linuparus sordidus,Oriental Spear Lobster,LC,0,2011,2018-1
170071,LOBSTERS.dbf,Parribacus antarcticus,Sculptured Mitten Lobster,LC,0,2011,2018-1
170072,LOBSTERS.dbf,Jasus lalandii,Cape Rock Lobster,LC,0,2011,2018-1
170073,LOBSTERS.dbf,Panulirus cygnus,Australian Spiny Lobster,LC,0,2011,2018-1
170074,LOBSTERS.dbf,Thaumastochelopsis wardi,Australian Pincer Lobster,DD,NA,2011,2018-1
170075,LOBSTERS.dbf,Scyllarides aequinoctialis,Spanish Slipper Lobster,LC,0,2011,2018-1
170079,LOBSTERS.dbf,Metanephrops thomsoni,NA,DD,NA,2011,2018-1
170080,LOBSTERS.dbf,Puerulus angulatus,Banded Whip Lobster,LC,0,2011,2018-1
170081,LOBSTERS.dbf,Ibacus ciliatus,Japanese Fan Lobster,DD,NA,2011,2018-1
170082,LOBSTERS.dbf,Nephropsis agassizii,Prickly Lobsterette,LC,0,2011,2018-1
170083,LOBSTERS.dbf,Jasus tristani,Tristan Rock Lobster,LC,0,2011,2018-1
170085,LOBSTERS.dbf,Eunephrops bairdii,Red Lobster,DD,NA,2011,2018-1
170086,LOBSTERS.dbf,Nephropsis ensirostris,Gladiator Lobsterette,LC,0,2011,2018-1
170087,LOBSTERS.dbf,Ibacus alticrenatus,Velvet Fan Lobster,LC,0,2011,2018-1
170088,LOBSTERS.dbf,Scyllarides nodifer,Ridged Slipper Lobster,LC,0,2011,2018-1
170089,LOBSTERS.dbf,Metanephrops neptunus,Neptune Lobster,LC,0,2011,2018-1
170090,LOBSTERS.dbf,Parribacus perlatus,Easter Island Mitten Lobster,DD,NA,2011,2018-1
170091,LOBSTERS.dbf,Panulirus brunneiflagellum,NA,DD,NA,2011,2018-1
170092,LOBSTERS.dbf,Nephropsis sulcata,Grooved Lobsterette,LC,0,2011,2018-1
170093,LOBSTERS.dbf,Eunephrops cadenasi,Sculptured Lobster,LC,0,2011,2018-1
170094,LOBSTERS.dbf,Panulirus regius,Royal Spiny Lobster,DD,NA,2011,2018-1
170095,LOBSTERS.dbf,Thaumastocheles zaleucus,Atlantic Pincer Lobster,LC,0,2011,2018-1
170096,LOBSTERS.dbf,Thaumastocheles japonicus,Pacific Pincer Lobster,LC,0,2011,2018-1
170097,LOBSTERS.dbf,Justitia longimanus,West Indian Furrow Lobster,DD,NA,2011,2018-1
170153,SEABREAMS_PORGIES.dbf,Acanthopagrus schlegelii,Blackhead Seabream,LC,0,2014,2018-1
170154,SEABREAMS_PORGIES.dbf,Diplodus argenteus,South-American Silver Porgy,LC,0,2014,2018-1
170155,SEABREAMS_PORGIES.dbf,Diplodus sargus,White Seabream,LC,0,2014,2018-1
170156,SEABREAMS_PORGIES.dbf,Archosargus rhomboidalis,Sea Bream,LC,0,2014,2018-1
170157,SEABREAMS_PORGIES.dbf,Dentex spariformis,Saffronfin Sea Bream,LC,0,2014,2018-1
170158,SEABREAMS_PORGIES.dbf,Dentex angolensis,Angola Dentex,NT,0.2,2014,2018-1
170159,SEABREAMS_PORGIES.dbf,Pagrus caeruleostictus,Bluespotted Seabream,LC,0,2014,2018-1
170160,SEABREAMS_PORGIES.dbf,Lithognathus mormyrus,Striped Seabream,LC,0,2014,2018-1
170161,SEABREAMS_PORGIES.dbf,Cheimerius matsubarai,Hoshierenko,VU,0.4,2014,2018-1
170162,SEABREAMS_PORGIES.dbf,Pagellus bellottii,Red Pandora,LC,0,2014,2018-1
170163,SEABREAMS_PORGIES.dbf,Sparidentex datnia,NA,DD,NA,2014,2018-1
170164,SEABREAMS_PORGIES.dbf,Rhabdosargus thorpei,Bigeye Stumpnose,LC,0,2014,2018-1
170165,SEABREAMS_PORGIES.dbf,Rhabdosargus haffara,Haffara Seabream,LC,0,2014,2018-1
170166,SEABREAMS_PORGIES.dbf,Dentex maroccanus,Morocco Dentex,LC,0,2014,2018-1
170167,SEABREAMS_PORGIES.dbf,Pagrus major,Red Seabream,LC,0,2014,2018-1
170168,SEABREAMS_PORGIES.dbf,Stenotomus chrysops,Scup,NT,0.2,2014,2018-1
170169,SEABREAMS_PORGIES.dbf,Sarpa salpa,Karanteen,LC,0,2014,2018-1
170170,SEABREAMS_PORGIES.dbf,Chrysoblephus laticeps,Roman Seabream,NT,0.2,2014,2018-1
170171,SEABREAMS_PORGIES.dbf,Boops lineatus,Striped Boga,DD,NA,2014,2018-1
170172,SEABREAMS_PORGIES.dbf,Spondyliosoma emarginatum,Steentjie,LC,0,2014,2018-1
170173,SEABREAMS_PORGIES.dbf,Acanthopagrus vagus,Riverbream,VU,0.4,2014,2018-1
170174,SEABREAMS_PORGIES.dbf,Sparidentex hasta,Sobaity Seabream,LC,0,2014,2018-1
170175,SEABREAMS_PORGIES.dbf,Diplodus capensis,Blacktail,LC,0,2014,2018-1
170176,SEABREAMS_PORGIES.dbf,Dentex abei,Yellowfin Sea Bream,LC,0,2014,2018-1
170177,SEABREAMS_PORGIES.dbf,Calamus mu,Flathead Porgy,LC,0,2014,2018-1
170178,SEABREAMS_PORGIES.dbf,Calamus nodosus,Knobbed Porgy,LC,0,2014,2018-1
170179,SEABREAMS_PORGIES.dbf,Acanthopagrus chinshira,NA,NT,0.2,2014,2018-1
170180,SEABREAMS_PORGIES.dbf,Stenotomus caprinus,Longspine Porgy,LC,0,2014,2018-1
170181,SEABREAMS_PORGIES.dbf,Acanthopagrus palmaris,Northwest Black Bream,LC,0,2014,2018-1
170182,SEABREAMS_PORGIES.dbf,Calamus proridens,Littlehead Porgy,LC,0,2014,2018-1
170183,SEABREAMS_PORGIES.dbf,Chrysoblephus cristiceps,Dageraad,CR,0.8,2014,2018-1
170184,SEABREAMS_PORGIES.dbf,Polysteganus praeorbitalis,Scotsman Seabream,VU,0.4,2014,2018-1
170185,SEABREAMS_PORGIES.dbf,Porcostoma dentata,Dane Seabream,LC,0,2014,2018-1
170186,SEABREAMS_PORGIES.dbf,Dentex gibbosus,Pink Dentex,LC,0,2014,2018-1
170187,SEABREAMS_PORGIES.dbf,Calamus campechanus,Campeche Porgy,DD,NA,2014,2018-1
170188,SEABREAMS_PORGIES.dbf,Acanthopagrus randalli,Middle East Black Seabream,DD,NA,2014,2018-1
170189,SEABREAMS_PORGIES.dbf,Acanthopagrus butcheri,Black Bream,LC,0,2014,2018-1
170190,SEABREAMS_PORGIES.dbf,Calamus bajonado,Jolthead Porgy,LC,0,2014,2018-1
170191,SEABREAMS_PORGIES.dbf,Argyrops bleekeri,King Soldier Bream,LC,0,2014,2018-1
170192,SEABREAMS_PORGIES.dbf,Dentex canariensis,Canary Dentex,LC,0,2014,2018-1
